id,pore,type,cq1,cq2,cq3,meancq,logquantity,copies
08a,0.8,adult,33.82,33.8,34.17,33.93,-5.3103,0.00000489
12a,1.2,adult,38.74,37.1,37.75,37.86,-6.2223,0.0000006
30a,3,adult,30.55,30.58,30.56,30.56,-4.5283,0.00002963
08b,0.8,adult,35.77,35.18,35.48,35.47,-5.6682,0.00000215
12b,1.2,adult,32.36,32.78,32.49,32.54,-4.9877,0.00001029
30b,3,adult,30.46,30.49,31.22,30.72,-4.5653,0.00002721
08c,0.8,adult,34.36,34.67,34.7,34.58,-5.4596,0.00000347
12c,1.2,adult,32.71,33.56,34.04,33.44,-5.1963,0.00000636
30c,3,adult,33.29,33.76,33.65,33.57,-5.2255,0.00000595
08d,0.8,adult,36.34,36.28,36.38,36.33,-5.8671,0.00000136
12d,1.2,adult,40.52,37.73,39.27,39.17,-6.5259,0.0000003
30d,3,adult,33.23,32.91,33.19,33.11,-5.1196,0.00000759
08e,0.8,adult,32.09,32.65,32.86,32.53,-4.9858,0.00001033
12e,1.2,adult,33.57,33.52,34.12,33.74,-5.2651,0.00000543
30e,3,adult,33.79,33.56,33.05,33.47,-5.2023,0.00000628
08F,0.8,adult,33.6,33.56,34.09,33.75,-5.2678,0.0000054
 12F,1.2,adult,33.54,33.64,33.01,33.4,-5.1867,0.00000651
30F,3,adult,35.01,35.25,35.49,35.25,-5.6159,0.00000242
08G,0.8,adult,32.16,32.48,33.12,32.59,-4.9979,0.00001005
12G,1.2,adult,36.65,36.47,37.39,36.84,-5.9838,0.00000104
30G,3,adult,34.11,33.59,33.42,33.7,-5.2574,0.00000553
08H,0.8,juveniles,37.21,37.59,38.27,37.69,-6.1929,0.00000064
12H,1.2,juveniles,34.66,34.95,35.3,34.97,-5.4726,0.00000337
30H,3,juveniles,32.48,34.08,34.64,33.73,-5.1446,0.00000717
